product_id,product_name,sub_category,category,brand,shop,tag_price
1000001,Nike log pull over,sweat,tops,nike,nike,3700
1000002,Nike sports hoodie,hoodie,tops,nike,nike,3600
1000003,Adidas logo-hoodie,hoodie,tops,adidas,adidas,14000
1000004,Freaks Store Boa-jacket,other jacket,outer,Freaks Store,Freaks Store,8000
1000005,Freaks Store noldick knit,knit,tops,Freaks Store,Freaks Store,6000
1000006,Danton 2way bag,bag,bag,Danton,Danton,9800
1000007,Danton boa-jacket ,other jacket,outer,Danton,Danton ,12000
1000008,Danton inner down jacket,down jacket,outer,Danton ,Danton,17000
1000009,Adidas track pants,other pants,pants,adidas,adidas,8500
1000010,Nike air force 1,sneker,shoes,nike,nike,9800
1000011,Nike OH pants,other pants,pants,nike,nike,9700
1000012,The North Face Swead boots,boots,shoes,the north face,the north face,9500
1000013,The North Face Day bag,bagpack,bag,the north face,the north face,16200
1000014,The North Face Down jacket,down jacket,outer,the north face,the north face,23760
1000015,Freak Store Super big hoodie,hoodie,tops,Freaks Store,Freaks Store,6000
